name,address,phone,website,opening_hours,amenity,shop,cuisine,location
Barbara's,Address not available,,,Tu-Sa 11:00-22:00; Su 10:00-20:00,cafe,,,"34.0536909, -118.242766"
Starbucks,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Corner Bakery,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Marie's Coffee & Deli,"731 West 7th Street, Los Angeles, CA, 90017",+12136225283,https://mariescoffeedeli.com/home,Mo-Fr 07:00-15:00,cafe,,coffee_shop;sandwich,"34.0536909, -118.242766"
Starbucks,"230 Alvarado Street, Los Angeles, CA, 90057",+1 213-434-1379,https://www.starbucks.com/store-locator/store/1023630/alvarado-3rd-230-s-alvarado-los-angeles-ca-900572306-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Homegirl Cafe,Address not available,,,,cafe,,,"34.0536909, -118.242766"
The California Endowment Courtyard Cafe,Address not available,,,Mo-Fr 07:30-15:00,cafe,,,"34.0536909, -118.242766"
The Coffee Bean & Tea Leaf,"645 (Suite #108) W. 9th St., 90015",(213) 627-3816,https://www.coffeebean.com/,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"3461 West 3rd Street, Los Angeles, CA, 90020",+1 213-384-6552,https://www.starbucks.com/store-locator/store/8885/vons-los-angeles-2261-3461-w-3rd-st-los-angeles-ca-900201604-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"350 South Grand Avenue, Los Angeles, CA, 90071",+1 213-626-0466,https://www.starbucks.com/store-locator/store/16708/two-cal-plaza-350-south-grand-avenue-suite-b-5-los-angeles-ca-90,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"138 South Central Avenue, Los Angeles, CA, 90012",+1 213-613-0393,https://www.starbucks.com/store-locator/store/11382/2nd-central-138-s-central-avenue-los-angeles-ca-900123913-us,,cafe,,coffee_shop,"34.0536909, -118.242766"
Blue Bottle Coffee,"582 Mateo Street, Los Angeles, CA, 90013",,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,Address not available,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Daily Dose,Address not available,,,,cafe,,,"34.0536909, -118.242766"
No Ghost Bears,"305 East 8th Street, Los Angeles, 90014",,http://www.coffeecolab.com,,cafe,,coffee_shop,"34.0536909, -118.242766"
Verve Coffee,"833 South Spring Street, Los Angeles, 90014",,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Biscuit and Bean,"2501 Sunset Boulevard, Los Angeles, CA, 90026",+1 213-263-9780,,,cafe,,,"34.0536909, -118.242766"
Gigo's Cafe & Deli,Address not available,,,,cafe,,,"34.0536909, -118.242766"
HillStreet,Address not available,,,,cafe,,,"34.0536909, -118.242766"
Cafe Tropical,"2900 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-661-8391,https://cafetrop.com/,Mo-Fr 06:00-22:00; Sa-Su 07:00-22:00,cafe,,coffee_shop;cuban,"34.0536909, -118.242766"
Bodega Park,"2852 Sunset Boulevard, Los Angeles, CA, 90026",,https://www.bodegapark.la/,Mo off; Tu-Su 08:00-15:00,cafe,,sandwich;breakfast;wings;salad,"34.0536909, -118.242766"
Coffee House Donuts,"411 East 8th Street, Los Angeles, CA, 90014",,,,cafe,,donut,"34.0536909, -118.242766"
L.A Donuts & Croissant,"102 South Vermont Avenue, Los Angeles, 90004",,,,cafe,,donut,"34.0536909, -118.242766"
Alfred Coffee Silverlake,"3337 1/2 Sunset Boulevard, Los Angeles, CA, 90026",+1-323-522-6984,https://alfred.la/,Mo-Fr 06:30-17:00; Sa-Su 07:30-18:00,cafe,,coffee_shop;coffee,"34.0536909, -118.242766"
Stumptown Coffee Roasters,806 Santa Fe Avenue,,,,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"1601 Wilshire Boulevard, Wilshire Union Center, CA, 90017",+1 213-484-0958,https://www.starbucks.com/store-locator/store/11305/union-wilshire-1601-wilshire-blvd-los-angeles-ca-900171610-us,Mo-Sa 05:00-22:00; Su 05:30-21:00,cafe,,coffee_shop,"34.0536909, -118.242766"
Starbucks,"735 South Figueroa Street, Los Angeles, CA, 90017",+1 213-488-9902,https://www.starbucks.com/store-locator/store/8888/7th-figueroa-fi-gat-7th-735-s-figueroa-street-308-los-angeles-ca-900172563,,cafe,,coffee_shop,"34.0536909, -118.242766"
Mitsuru Cafe,Address not available,,,"We-Fr 11:00-17:00; Sa,Su 11:00-18:00",cafe,,,"34.0536909, -118.242766"
Tilt Coffee Bar,"334 South Main Street, Los Angeles, CA, 90013",,,"Mo-Sa 07:00-19:00, Su 09:00-18:00",cafe,,coffee_shop,"34.0536909, -118.242766"
Pitchoun,545 Olive Street,+1(213)689-3240,https://pitchounbakery.com/,Mo-Fr 07:00-11:30; Sa-Su 08:00-16:00,cafe,,french;breakfast;cake;coffee_shop,"34.0536909, -118.242766"
Cafe Dulce,134 Japanese Village Plaza Mall,+1 213-346-9910,,Mo-Su 07:00-21:00,cafe,,cake;coffee_shop;donut;sandwich,"34.0536909, -118.242766"
Caffe Bene,Address not available,,,,cafe,,,"34.0536909, -118.242766"
