name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,source,location,amenity,shop
The Edison,Address not available,,,,,,,,,no,,OpenStreetMap,"34.0536909, -118.242766",bar,
Library Bar,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Clifton's Republic,Address not available,+1 213.627.1673,,https://theneverlands.com/cliftons-republic/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Bar 107,US,,,,,,,,,limited,,OpenStreetMap,"34.0536909, -118.242766",bar,
Public School 213,"612 South Flower St, 90017",,,https://publicschool612.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Seven Grand Whiskey Bar,"513 West 7th Street, Los Angeles, CA, 90014, US",,,http://www.sevengrand.la/,24/7,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Rooftop Bar,"550 South Flower Street, 90069",,,https://www.standardhotels.com/downtown-la/food-drink/the-rooftop,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Rain Karoki,"685 S. Hoover Street, Los Angeles, 90005",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Love Song Bar,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Wolf and Crane,"366 East 2nd Street, Los Angeles, CA, 90012",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Gallery Bar,Address not available,,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Wendell,"656 South Main Street, Los Angeles, 90014",,,https://www.wendellbardtla.com/,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Crane's Bar,"810 South Spring Street, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Broadway Bar,"830 South Broadway, Los Angeles, 90014",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Bar Bandini,"2150 Sunset Boulevard, Los Angeles, CA, 90026",,,,,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
The Semi-Tropic,"1412 Glendale Boulevard, Los Angeles, CA, 90026",+1-213-568-3827,,https://thesemitropic.com/,"Mo-Th,Su 14:00-01:00; Fr-Sa 14:00-02:00",mexican;eclectic;brunch,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Gold Room,"1558 Sunset Boulevard, Los Angeles, CA, 90026",+1 213-482-5259,,,12:00-02:00,,,,,,,OpenStreetMap,"34.0536909, -118.242766",bar,
Spring St Bar,"626-B South Spring Street, Los Angeles, CA, 90014",,,,,,,,,yes,,OpenStreetMap,"34.0536909, -118.242766",bar,
