name,address,phone,email,website,opening_hours,cuisine,outdoor_seating,takeaway,delivery,wheelchair,payment_methods,amenity,shop
Школа №10,35 Костянтинівська вулиця,,,,,,,,,no,,school,
Green Forest (курси англійської мови),27; 27а вулиця Шота Руставелі,+380 44 287 0711;+380 44 287 0020,,https://www.greenforest.com.ua/,"Mo-Fr 14:00-22:00, Sa-Su 09:00-18:00",,,,,,,school,
Kiev Art School,Kiev Art School,,,,,,,,,,,school,
Native English School,Native English School,+380 44 383 7322,nativeenglishua@gmail.com,https://native-english.com.ua/,,,,,,,,school,
Cambridge Educational Center,Cambridge Educational Center,,,,,,,,,,,school,
Шахова школа,71 Дмитрівська вулиця,,,,,,,,,,,school,
Bonjour Français,Bonjour Français,+380 67 352 8343,,https://bonjour-fr.com/,Mo-Fr 09:00-22:00; Sa 09:00-18:00,,,,,,,school,
Перша школа франчайзингу,20-А Кожумʼяцька вулиця,,,,,,,,,,,school,
"Комп'ютерна академія ""ШАГ""","Комп'ютерна академія ""ШАГ""",,,,,,,,,,,school,
Спеціалізована школа №49,27 вулиця Ярославів Вал,+380 44 272 0211,,,Mo-Fr 08:30-16:00,,,,,,,school,
"Zoukraine. Бразильські соціальні танці. Samba de gafieira, Bolero, Brazilian Zouk","Zoukraine. Бразильські соціальні танці. Samba de gafieira, Bolero, Brazilian Zouk",+380 50 777 9576,,https://zoukraine.com/,Mo-Fr 18:00-23:00; Sa-Su 09:00-00:00,,,,,,,school,
Українсько-Японський Центр,Українсько-Японський Центр,,,,,,,,,,,school,
Курси масажу Інкорте,"20-Д Мала Житомирська вулиця, 01001",+380 63 522 3020,incorte.kiev@gmail.com,https://www.incorte.com/,Mo-Su 10:00-21:30,,,,,,,school,
KIDBI: Міжнародний центр розвитку дітей,KIDBI: Міжнародний центр розвитку дітей,+380 73 434 0101,info@kidbi.com.ua,https://kidbi.com.ua/,Mo-Su 09:00-22:00,,,,,,,school,
WonderLab Academy,"32/34 Шовковична вулиця, 01024",+380 95 011 0615,wonderlab.academy@gmail.com,https://wonderlab.com.ua/,,,,,,,,school,
International House Kyiv,10G Старокиївська вулиця,,,,,,,,,,,school,
Школа краси Divine,Школа краси Divine,,,,Mo-Su 10:00-22:00,,,,,,,school,
International Language Centre,International Language Centre,+380 44 238 9870,info@ilcentre.com.ua,https://ilc.org.ua/,Mo-Fr 08:00-21:00,,,,,,,school,
English Time team,English Time team,,,,,,,,,,,school,
"Хор хлопчиків ""Менестрелі""","Хор хлопчиків ""Менестрелі""",+380 67 239 7272,,,Mo-Sa 09:00-18:00,,,,,,,school,
Ліцей №124 «Спаський»,"8 Спаська вулиця, 04070",+380 44 425 2521,sch124@ukr.net,http://www.sch124.kiev.ua,Mo-Fr 08:15-15:10,,,,,,,school,
Школа джазового танцю,Школа джазового танцю,,,,,,,,,,,school,
Мовна школа DEC,Мовна школа DEC,,,,,,,,,,,school,
"Дистанційна школа ""Оптіма""","4/10 оф117-А Тбіліський провулок, Київ, 04116",,,,,,,,,,,school,
"IT-школа ""Unit""","IT-школа ""Unit""",,,http://www.unit.ua,,,,,,,,school,
Talant school Наталії Могилевської,Talant school Наталії Могилевської,,,,,,,,,,,school,
"ДЮСШ ""Авангард""",1 Золотоустівська вулиця,,,,,,,,,,,school,
Tumo Kyiv,Tumo Kyiv,+380 67 010 9100,,https://tumo.com.ua,Mo-Su 10:00-19:00,,,,,,,school,
Українська школа вільних наук,12 Турівська вулиця,+380 99 233 1730,school.ulas@gmail.com,https://ulas.school/,,,,,,,,school,
